Ticker,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BF-B,0.5544,0.5976,1.6400000000000001,0.672,0.702,1.729,0.773,0.836,0.881,0.912
BTI,2.134,2.801,2.716,2.696,2.708,2.984,2.96,2.804,2.972,2.996
BUD,4.0120000000000005,3.973,3.391,2.0060000000000002,0.551,0.596,0.543,0.824,0.872,1.128
CCOEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.074
DEO,3.225,3.224,3.553,3.49,3.644,4.015,3.849,4.038,4.139,4.139
DPZ,1.52,1.84,2.2,2.6,3.12,3.76,4.4,4.84,6.04,6.96
EA,0.0,0.0,0.0,0.0,0.17,0.68,0.74,0.76,0.76,0.76
GOOGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.83
KDP,2.12,2.32,104.48,0.6,0.6,0.6759999999999999,0.764,0.8150000000000001,0.875,0.92
KO,1.4,1.48,1.56,1.6,1.64,1.68,1.76,1.84,1.94,2.04
MCD,3.61,3.83,4.1899999999999995,4.7299999999999995,5.04,5.25,5.66,6.23,6.779999999999999,7.17
META,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1
MO,2.3499999999999996,2.54,3.0,3.2800000000000002,3.4,3.52,3.6799999999999997,3.84,4.0,4.16
MSFT,1.47,1.59,1.72,1.8900000000000001,2.09,2.3000000000000003,2.54,2.79,3.08,3.4
NTDOY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.147
PEP,2.9619999999999997,3.168,3.5890000000000004,3.793,4.024,4.247999999999999,4.5249999999999995,4.944999999999999,5.33,5.6240000000000006
PM,4.12,4.220000000000001,4.49,4.619999999999999,4.74,4.9,5.04,5.140000000000001,5.300000000000001,5.640000000000001
PRNDY,0.41500000000000004,0.46499999999999997,0.542,0.698,0.616,0.736,0.8260000000000001,1.0090000000000001,0.995,0.55
QSR,0.62,0.78,1.8,2.0,2.08,2.12,2.16,2.2,2.32,2.48
SPY,4.539,4.802,5.101,5.619,5.691,5.715,6.32,6.633,7.066,7.281
STZ,1.51,1.96,2.74,2.99,3.0,3.0300000000000002,3.16,3.47,3.92,4.07
TCEHY,0.061,0.079,0.115,0.127,0.155,0.206,1.5450000000000002,2.57,0.434,0.573
TPB,0.0,0.04,0.165,0.18,0.2,0.22,0.24,0.26,0.28,0.3
UVV,2.12,2.16,2.6,3.02,3.06,3.1,3.14,3.18,3.22,3.26
YUM,1.358734,1.2,1.44,1.68,1.88,2.0,2.28,2.42,2.68,2.84
