Ticker,Company,Sector,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
DEO,Diageo,Alcohol,-0.66,44.17,-0.43,21.39,-3.26,41.72,-17.4,-16.28,-10.09,-29.31
BUD,Anheuser-Busch InBev,Alcohol,-10.92,9.55,-38.79,27.69,-13.97,-12.66,0.12,9.04,-21.37,30.12
STZ,Constellation Brands,Alcohol,10.02,50.69,-28.73,19.85,17.41,16.12,-6.43,5.83,-7.11,-35.99
BF-B,Brown-Forman,Alcohol,-6.26,55.01,-10.66,43.78,18.67,-6.07,-8.86,-11.9,-32.23,-29.29
PRNDY,Pernod Ricard,Alcohol,-1.05,48.98,5.27,11.85,8.58,28.45,-17.06,-7.89,-33.68,-21.76
MNST,Monster Beverage,Energy Drinks,-7.84,42.74,-22.23,29.11,45.52,3.85,5.72,13.48,-8.77,45.87
CELH,Celsius Holdings,Energy Drinks,24.37,114.29,-33.9,39.19,941.61,48.22,39.52,57.21,-51.69,73.65
KDP,Keurig Dr Pepper,Energy Drinks,0.63,9.76,65.97,15.43,13.03,17.49,-1.23,-4.24,-1.05,-10.14
PEP,PepsiCo,Energy Drinks,9.05,17.82,-4.81,27.38,11.67,20.56,6.78,-3.29,-7.6,-1.84
KO,Coca-Cola,Energy Drinks,0.96,14.38,6.77,20.6,2.47,11.37,10.61,-4.43,8.88,15.6
META,Meta Platforms,Social Media,12.55,53.38,-25.71,56.57,33.09,23.13,-64.22,194.13,66.05,13.09
GOOGL,Alphabet,Social Media,4.35,32.93,-0.8,28.18,30.85,65.3,-39.09,58.32,36.01,65.99
SNAP,Snap Inc.,Social Media,,-40.32,-62.29,196.37,206.61,-6.07,-80.97,89.16,-36.39,-25.07
TCEHY,Tencent,Social Media,26.98,114.87,-23.81,21.97,50.14,-18.69,-25.26,-5.37,41.92,45.22
MSFT,Microsoft,Social Media,16.51,40.73,20.8,57.56,42.53,52.48,-28.02,58.19,12.93,15.58
PM,Philip Morris,Tobacco & Nicotine,9.7,19.85,-33.3,35.02,3.69,20.78,12.31,-1.85,34.34,37.99
BTI,British American Tobacco,Tobacco & Nicotine,7.56,24.28,-49.36,42.96,-4.73,7.95,15.11,-20.09,35.44,65.81
MO,Altria,Tobacco & Nicotine,22.16,9.45,-27.14,7.87,-10.21,24.18,4.37,-3.7,40.76,18.17
UVV,Universal Corporation,Tobacco & Nicotine,19.55,-14.79,7.79,11.08,-8.96,19.59,1.82,35.79,-13.39,2.27
TPB,Turning Point Brands,Tobacco & Nicotine,21.05,72.88,29.57,5.63,57.08,-14.79,-42.19,23.06,130.09,81.04
NTDOY,Nintendo,Gaming,50.43,73.68,-26.56,50.76,61.36,-27.51,-10.74,24.66,13.11,16.19
EA,Electronic Arts,Gaming,19.15,33.39,-24.89,36.24,33.75,-7.69,-6.84,12.67,7.49,40.33
TTWO,Take-Two Interactive,Gaming,44.25,122.72,-6.23,18.93,69.72,-14.47,-41.41,54.57,14.37,39.09
CCOEY,Capcom,Gaming,-3.08,30.82,26.76,41.01,129.8,-28.87,37.2,2.65,36.45,6.39
UBSFY,Ubisoft,Gaming,23.73,117.61,5.55,-14.78,39.7,-49.4,-42.3,-9.96,-46.64,-46.3
MCD,McDonald's,Quick Service Restaurants,6.71,45.05,5.78,13.97,11.3,27.79,0.51,15.06,0.14,7.89
CMG,Chipotle Mexican Grill,Quick Service Restaurants,-15.93,-23.4,49.39,93.87,65.65,26.07,-20.64,64.83,31.83,-38.64
YUM,Yum! Brands,Quick Service Restaurants,24.88,31.09,14.61,11.41,9.85,30.05,-5.99,3.93,4.72,14.94
DPZ,Domino's Pizza,Quick Service Restaurants,47.36,19.82,32.37,19.63,31.63,48.39,-37.88,20.69,3.18,0.88
QSR,Restaurant Brands International,Quick Service Restaurants,36.03,30.69,-12.15,25.61,-0.34,2.72,10.72,24.64,-13.8,8.64
SPY,S&P 500 ETF,Benchmark,13.59,21.71,-4.57,31.22,18.33,28.73,-18.18,26.18,24.89,17.72
