,BF-B,BTI,BUD,CCOEY,CELH,CMG,DEO,DPZ,EA,GOOGL,KDP,KO,MCD,META,MNST,MO,MSFT,NTDOY,PEP,PM,PRNDY,QSR,SNAP,STZ,TCEHY,TPB,TTWO,UBSFY,UVV,YUM
BF-B,1.0,0.13183739727940458,0.3174466650889767,0.24184194109355145,0.20744809600304062,0.27137325900668774,0.5090448762578675,0.22820083434130847,0.21821722543863953,0.18005976638949023,0.3603852409357695,0.39338836851602454,0.4462531552881126,0.15972568027739634,0.34188159512348976,0.15591177670479472,0.2965289559504289,0.2324183526184117,0.3840684520551773,0.052716524896119624,0.5291396495472867,0.37357716267353785,0.06106873775947575,0.5243337345660375,0.1051716174050875,0.02711633513441175,0.17201064299341134,0.11682771884181835,0.08328464054697998,0.4188423116930615
BTI,0.13183739727940458,1.0,0.3700248822489095,0.11088524309905867,0.02115957250631774,0.025361874866748586,0.19321971851822412,0.07805233514367474,0.30135401495640135,0.18550915846606697,0.3020878619595944,0.3699914938634091,0.21671501630010043,0.12336202641721042,0.17919248688681452,0.5181415890811887,0.08738722851346566,0.13522434780534137,0.3327391434040949,0.5018852766476167,0.11838733831835202,0.2703504198775806,0.03917333277271314,0.20631594401504944,0.13480230155318232,0.2128299834239023,0.08472184746372098,0.14097436251817877,0.3129153637214748,0.19715330924350669
BUD,0.3174466650889767,0.3700248822489095,1.0,0.23365406771524708,0.24218226536125825,0.2266457060778939,0.5228473707907992,0.07180034201138227,0.30579209608235286,0.2359726426892272,0.36818490324024067,0.5922290973557593,0.4298929778977488,0.261948222012652,0.4568142119135901,0.28556198771215435,0.201370067218929,0.17230721323213213,0.40595841345111694,0.4514485523801336,0.5097598100710488,0.5455361981999854,0.22499338253081078,0.3703761017742412,0.29994888113146423,0.10828030247683391,0.2351161808129834,0.16871607311106546,0.358020764464052,0.5315746187863124
CCOEY,0.24184194109355145,0.11088524309905867,0.23365406771524708,1.0,0.16055806651179655,0.25260189423316354,0.197852166658397,0.12544491903339683,0.37207875350962377,0.11930097522194949,0.08334411201706007,0.13809307353067177,0.18096714705574285,0.23705190398871526,0.15558580946812808,0.16929386630278384,0.2628958678501891,0.41351332626183845,0.08552814257383952,0.14851126024781255,0.28902079672612624,0.16155740258789314,-0.021042826899249634,0.10801266078039622,0.14001507775401337,0.11813545375134094,0.3097200702668073,0.24523932011819566,0.03593510952619775,0.20095586872953694
CELH,0.20744809600304062,0.02115957250631774,0.24218226536125825,0.16055806651179655,1.0,0.36530787291673755,0.3187624088681428,0.1468532685744393,0.33741184033526067,0.21406289053258215,0.1957758991588067,0.23083523938687855,0.21083382399352513,0.22387545684455926,0.46147894605149176,0.2055009424115053,0.2404843115207154,-0.018080160914268287,0.12734928990575795,0.1404034210260138,0.2784925085168618,0.3670445200224449,0.04443232765720773,0.2691569152814514,0.11091717777831779,0.12696429716175134,0.31213208136237663,0.2391194780345126,-0.021294765503628056,0.29709158435636956
CMG,0.27137325900668774,0.025361874866748586,0.2266457060778939,0.25260189423316354,0.36530787291673755,1.0,0.39778981994323726,0.35230826277916943,0.21636572525116984,0.428519505844441,0.27438783492615615,0.16905674495753223,0.28292036834508966,0.5106477953428059,0.27412436226015113,0.2503243336855736,0.5375088548561142,0.10072891420315352,0.17538046647140929,0.1212566005311876,0.34848200433641857,0.4596858342801487,0.3121912193548211,0.38729492001239896,0.010647804212084978,0.21264463964126223,0.1714446844342673,0.10000417259899179,0.11195276411577654,0.4319228507425402
DEO,0.5090448762578675,0.19321971851822412,0.5228473707907992,0.197852166658397,0.3187624088681428,0.39778981994323726,1.0,0.21519650138983673,0.194827891496028,0.34675724578817213,0.39201589992293606,0.49223015591860325,0.5165570633736912,0.3757785532762742,0.3907935880692071,0.21809038282557508,0.376689714283789,0.09646357963943487,0.4501031914236648,0.12899506496670113,0.7677499398962184,0.4760646709487582,0.1259620889187385,0.4999628507318004,0.14193186433805366,0.15214246736487863,0.13725183966694232,0.14371255720455256,0.13771926560728653,0.5207176741244237
DPZ,0.22820083434130847,0.07805233514367474,0.07180034201138227,0.12544491903339683,0.1468532685744393,0.35230826277916943,0.21519650138983673,1.0,0.20931708750413175,0.2471842007408283,0.27721278011203493,0.18444065863770642,0.19317396420246252,0.29624610014096875,0.21466419444690163,0.06529834576976297,0.29660098156118897,0.24600048213733325,0.23028390383316877,0.167508842159603,0.1775461709476275,0.15650597033807548,0.0845144945858662,0.2179730616534685,0.08952910155846332,0.24267094460795066,0.22146173589644114,0.101494654158232,0.1334433204510746,0.17425765115933614
EA,0.21821722543863953,0.30135401495640135,0.30579209608235286,0.37207875350962377,0.33741184033526067,0.21636572525116984,0.194827891496028,0.20931708750413175,1.0,0.242188431892871,0.1451753713018431,0.23101129852807567,0.20888628880279353,0.225819371334131,0.4135762566917511,0.28879314274036477,0.32168444478027963,0.2281931480777799,0.28226198263343294,0.2967086963289232,0.13749455697132906,0.3477348719737279,0.04019988520105378,0.23593525381906505,0.223034744673968,0.1949965428687051,0.5049878571190193,0.3736123223567083,0.2215867421142636,0.2100236435380287
GOOGL,0.18005976638949023,0.18550915846606697,0.2359726426892272,0.11930097522194949,0.21406289053258215,0.428519505844441,0.34675724578817213,0.2471842007408283,0.242188431892871,1.0,0.2170051304317568,0.1290647682031324,0.11713371801842634,0.5706001391196031,0.18827158203886338,0.14455491077252003,0.6541345502969501,0.15199095364483445,0.10847050832546237,0.13503092367412176,0.3864656671883929,0.34951367311569265,0.37154893189545846,0.3249464544889903,0.34216584025133295,0.21211098486034394,0.24251703075050943,0.12369751644052308,0.09601827757892847,0.2593786469311956
