,BF-B,BTI,BUD,CCOEY,CELH,CMG,DEO,DPZ,EA,GOOGL,KDP,KO,MCD,META,MNST,MO,MSFT,NTDOY,PEP,PM,PRNDY,QSR,SNAP,STZ,TCEHY,TPB,TTWO,UBSFY,UVV,YUM
BF-B,0.0054343425990682195,0.0006272400398208592,0.001991396675303187,0.0016082468401623412,0.0029945456347680107,0.0020440237922146453,0.0021277993020841312,0.0013586968337227277,0.001160199903998181,0.0011362281892024278,0.0016275986921805083,0.0014910121500943839,0.0016874398889198295,0.0013858283722975458,0.0019747175922807825,0.00076410710635692,0.001463874405521172,0.0013342198977522091,0.0013509233788731908,0.00025964451588146164,0.0023729714313067934,0.002155732408495979,0.000931108285238656,0.0029081587093074367,0.0007144591589639855,0.00016274907320404733,0.001106087460181168,0.0010634954158468182,0.00048412603092927035,0.0020163279797568903
BTI,0.0006272400398208592,0.0046497066814024,0.002199300140149539,0.0006449116785072745,0.0002877004866933496,0.0002143471760236509,0.0007581130125810296,0.0004127350784313,0.001493460770057607,0.0010563326821280909,0.001276773932730877,0.0013031715086234707,0.0007673187794558032,0.0010056244102869074,0.0009201058621286001,0.002226577570897048,0.0004034479788979771,0.0008528619169086398,0.0010972155520809941,0.002430816488475932,0.0005153641582897102,0.001463315329784503,0.0004020276571975047,0.00111817092130992,0.0009646417329651795,0.0018477049264934455,0.0004950415372678416,0.0013315922237027982,0.0017869960437411517,0.0008624367520119037
BUD,0.001991396675303187,0.002199300140149539,0.007496502016453419,0.0017762780415229978,0.004123633529461151,0.0020724986601539114,0.0025882692789427203,0.0004873979887646857,0.0019255032084905621,0.0017197326427860309,0.0019735660538929274,0.002649567784165157,0.001925387530130582,0.002699498171451859,0.0030433555823148684,0.001557444624562361,0.0011753264685844106,0.001313848361500522,0.0016970700729259383,0.0027770123852318804,0.002729798265095029,0.003735273732154121,0.0035381457340114444,0.0024903371897248,0.0026252305463653645,0.0012096762235999715,0.0017637393106639755,0.0019807963735145374,0.002586726615382247,0.002985482015701656
CCOEY,0.0016082468401623412,0.0006449116785072745,0.0017762780415229978,0.007937742715407089,0.002806301649260618,0.002314446726200645,0.0009981842864022748,0.0009062130376816628,0.0024013303801564906,0.0009115646137463383,0.0004509836619428768,0.0006322558805465827,0.0008261870159031247,0.0024990654465242537,0.0010947881220044167,0.0009893808818154796,0.0015720523665525479,0.0029944607723284117,0.0003595480273381338,0.0009239305256263292,0.0015657704453910558,0.001124846197863393,-0.00026838134449619854,0.0006993801098084852,0.0011951119416668383,0.0012198692654829726,0.002402485544347747,0.0028230198515398664,0.00024587224782337614,0.001173732525669232
CELH,0.0029945456347680107,0.0002877004866933496,0.004123633529461151,0.002806301649260618,0.038706246550920774,0.007501559953694771,0.0035823951734278007,0.0023154050093244574,0.004824638945244644,0.0035699959751480013,0.002380803687873864,0.002347945390265042,0.002143652486089982,0.005236505000523811,0.007038201412407327,0.0025846504297811104,0.00318647087738613,-0.00028295079204596876,0.0012078611350534519,0.00195912962858104,0.00337596574645253,0.005704940279433307,0.0016095041158762527,0.004065519069847568,0.0021807167932938625,0.0030691080315231197,0.005341582467815767,0.006220628612784246,-0.0003439639379410461,0.003805919747505059
CMG,0.0020440237922146453,0.0002143471760236509,0.0020724986601539114,0.002314446726200645,0.007501559953694771,0.010918605274947417,0.00237865951609967,0.0029326800972387435,0.0016457073723278467,0.003775804842871187,0.0017776204084442658,0.0009152224268726334,0.001531738186143397,0.00634094225525643,0.002189264381061939,0.0016387476100235762,0.003779183974400984,0.0009759570098459702,0.0008902485058286567,0.0009123220812801119,0.002260603781615178,0.0038005523097696388,0.005943144974497741,0.0031462176656779344,0.00017123348276847284,0.0028036535773023025,0.0015488565660886926,0.0014539893907515706,0.0009947812687036057,0.0029225807596230434
DEO,0.0021277993020841312,0.0007581130125810296,0.0025882692789427203,0.0009981842864022748,0.0035823951734278007,0.00237865951609967,0.0032630414347043697,0.0009821814839583668,0.0008098318933565685,0.0016759154749891303,0.00138520908899197,0.0014537907474379563,0.001525464832398266,0.0025529598157928157,0.0017241861248196942,0.0007896826096480868,0.0014494164035874855,0.00048301018272511035,0.0012399962347987854,0.0005257067214998618,0.002704274572069221,0.0021502833608767462,0.0013111537106588911,0.00220005581197297,0.0008212012589512672,0.0010843569004689523,0.0006802457276619686,0.001101542389390787,0.0006585811449337693,0.0019341655756773659
DPZ,0.0013586968337227277,0.0004127350784313,0.0004873979887646857,0.0009062130376816628,0.0023154050093244574,0.0029326800972387435,0.0009821814839583668,0.006439422763029686,0.0012179407869740957,0.0016873461683373718,0.0013701395073890796,0.0007633080405630315,0.0007976490129115358,0.002820505353610942,0.0013460896854689598,0.0003477971155748472,0.0016005458566421406,0.00160878678561732,0.0008861083267267022,0.0009458093875105361,0.0008681034458223888,0.00098627659775236,0.0012992922551841226,0.0013215107181679291,0.0006924304519689353,0.002348933618835312,0.0015480125549194933,0.001046099599310572,0.0008783028873045215,0.0009150515651761495
EA,0.001160199903998181,0.001493460770057607,0.0019255032084905621,0.0024013303801564906,0.004824638945244644,0.0016457073723278467,0.0008098318933565685,0.0012179407869740957,0.0052815580055942685,0.0014905732573648573,0.0006531331287760156,0.0008682759717462898,0.0007851869153793366,0.0019519725719433288,0.002327013058570938,0.0013391855875254557,0.0015747040784050677,0.0013974843064899361,0.0009891569168446078,0.0015298548898966334,0.0006184170355901252,0.0019977196413237114,0.0005272731732888454,0.0013213551091981887,0.0016222875933437555,0.001747057611187894,0.0031916413901755423,0.003595103739932181,0.0013396157144119419,0.0009924730516634433
GOOGL,0.0011362281892024278,0.0010563326821280909,0.0017197326427860309,0.0009115646137463383,0.0035699959751480013,0.003775804842871187,0.0016759154749891303,0.0016873461683373718,0.0014905732573648573,0.007200074567268544,0.001133460330115237,0.0005644123571020959,0.0005103857551405239,0.005748525226238691,0.0012494493583347405,0.0007979240365451234,0.0037346047516151715,0.0010372832641814575,0.0004395324961854097,0.0008051656086373,0.0020090712135022817,0.002335997551371309,0.005896402510345412,0.0020934223782718923,0.0028661295150335256,0.0021676612348346066,0.0017922255410961721,0.0013556587077652941,0.0006657071150996051,0.0014378059137939707
KDP,0.0016275986921805083,0.001276773932730877,0.0019735660538929274,0.0004509836619428768,0.002380803687873864,0.0017776204084442658,0.00138520908899197,0.0013701395073890796,0.0006531331287760156,0.001133460330115237,0.0038188859746965532,0.0017856249322727468,0.001077619102988695,0.001149149246099965,0.0014821255839681776,0.0012893821574828648,0.000883751770332689,0.0005633115595385739,0.0014817469418645871,0.0015245593300790786,0.0012704277367108934,0.0016422618706990386,0.000839179018517062,0.001846357682196125,0.0009696157869624862,0.0010578266456511868,0.0010140260859286924,0.0004823937969419558,0.0009149443180598008,0.001358533038188144
KO,0.0014910121500943839,0.0013031715086234707,0.002649567784165157,0.0006322558805465827,0.002347945390265042,0.0009152224268726334,0.0014537907474379563,0.0007633080405630315,0.0008682759717462898,0.0005644123571020959,0.0017856249322727468,0.0026721738916895697,0.0018219767424414424,0.0007933958492479132,0.0020357767865148836,0.0012115179997076425,0.0004776752293534068,0.00016872827788994767,0.001744260707635172,0.0016167750320355131,0.0014816970741366859,0.002207351112628826,0.0003838761959759893,0.0016493494800221894,0.0002507414965301257,0.0005311193144450134,0.0007435587573070217,0.0007768550855591893,0.0014541634403464588,0.0021411139950690762
MCD,0.0016874398889198295,0.0007673187794558032,0.001925387530130582,0.0008261870159031247,0.002143652486089982,0.001531738186143397,0.001525464832398266,0.0007976490129115358,0.0007851869153793366,0.0005103857551405239,0.001077619102988695,0.0018219767424414424,0.002669723678735367,0.0010008889404200328,0.0020190955925652246,0.0010245164350785206,0.000687755700292417,0.0001382831380054636,0.0016014478700800213,0.0008469200418816027,0.001548735290586207,0.00239623596502868,0.0005552441401787229,0.0018733991261918911,0.0002409022061232363,0.001000656822372387,0.0006797813935174993,0.0005965126368109934,0.0011423526211915308,0.0023213258078271237
META,0.0013858283722975458,0.0010056244102869074,0.002699498171451859,0.0024990654465242537,0.005236505000523811,0.00634094225525643,0.0025529598157928157,0.002820505353610942,0.0019519725719433288,0.005748525226238691,0.001149149246099965,0.0007933958492479132,0.0010008889404200328,0.014130035629369738,0.0022472519330098252,0.0014985489993264637,0.005131489759066128,0.002390661702715766,0.00026046570986132584,0.0015300680389431344,0.0029993808315885375,0.0035848679845466268,0.0055521723601498155,0.0029197054644247173,0.003990477741368026,0.004307168858028642,0.002680730564470773,0.002057011107673994,0.0009692314897789883,0.002332784474810632
MNST,0.0019747175922807825,0.0009201058621286001,0.0030433555823148684,0.0010947881220044167,0.007038201412407327,0.002189264381061939,0.0017241861248196942,0.0013460896854689598,0.002327013058570938,0.0012494493583347405,0.0014821255839681776,0.0020357767865148836,0.0020190955925652246,0.0022472519330098252,0.0060365377038397155,0.0017121425326465445,0.0013337163653495982,8.574515319555422e-05,0.0018317188829728216,0.002029184648785248,0.0013678522044856347,0.0027506674997597536,0.0007748198076439674,0.0019291507454182516,0.0013211420029288967,0.0019646281454453506,0.0017764260289520896,0.0014354799741864233,0.001380050179249704,0.002515566785662606
MO,0.00076410710635692,0.002226577570897048,0.001557444624562361,0.0009893808818154796,0.0025846504297811104,0.0016387476100235762,0.0007896826096480868,0.0003477971155748472,0.0013391855875254557,0.0007979240365451234,0.0012893821574828648,0.0012115179997076425,0.0010245164350785206,0.0014985489993264637,0.0017121425326465445,0.004129385885163306,0.0005242325329299393,0.00031325300258602877,0.001125109436000686,0.0025834829835329034,0.0005799433624630444,0.001628920790105164,0.0012122374860033128,0.0016974965312850435,0.0002948909348771386,0.002593979462071597,0.0008865798132877717,0.0013361964790497205,0.0017761794803892094,0.0013544288502442018
MSFT,0.001463874405521172,0.0004034479788979771,0.0011753264685844106,0.0015720523665525479,0.00318647087738613,0.003779183974400984,0.0014494164035874855,0.0016005458566421406,0.0015747040784050677,0.0037346047516151715,0.000883751770332689,0.0004776752293534068,0.000687755700292417,0.005131489759066128,0.0013337163653495982,0.0005242325329299393,0.004534837453528761,0.0015074810679389854,0.000498664671804173,0.0005628183304300858,0.0018530880356834524,0.0017994018639567817,0.004048616703802842,0.002080145408318359,0.00166061774568788,0.0008826154292948506,0.0021224240469506087,0.0012595739148023595,0.00044639401261178577,0.001121341236058822
NTDOY,0.0013342198977522091,0.0008528619169086398,0.001313848361500522,0.0029944607723284117,-0.00028295079204596876,0.0009759570098459702,0.00048301018272511035,0.00160878678561732,0.0013974843064899361,0.0010372832641814575,0.0005633115595385739,0.00016872827788994767,0.0001382831380054636,0.002390661702715766,8.574515319555422e-05,0.00031325300258602877,0.0015074810679389854,0.0072051696667745704,-0.0003481044493336544,0.0005568836875323636,0.0010998799432198286,0.0006547754480626941,0.00019655178140157408,0.0004688356087645841,0.0011838732466715911,0.0016268858730866611,0.003050648464101378,0.0016406690520183829,0.00019823418867582219,0.00042199420930315995
