Date,Year,Ticker,Dividend
2016-01-07,2016,UVV,0.53
2016-01-13,2016,YUM,0.330697
2016-02-05,2016,STZ,0.31
2016-02-16,2016,MSFT,0.36
2016-02-24,2016,DEO,1.3
2016-02-26,2016,MCD,0.89
2016-03-01,2016,QSR,0.14
2016-03-02,2016,PEP,0.703
2016-03-07,2016,BF-B,0.136
2016-03-11,2016,DPZ,0.38
2016-03-11,2016,KDP,0.53
2016-03-11,2016,KO,0.35
2016-03-11,2016,MO,0.565
2016-03-16,2016,BTI,1.4595
2016-03-18,2016,SPY,1.05
2016-03-22,2016,PM,1.02
2016-04-07,2016,UVV,0.53
2016-04-13,2016,YUM,0.330697
2016-04-28,2016,BUD,2.263
2016-05-06,2016,STZ,0.4
2016-05-12,2016,QSR,0.15
2016-05-17,2016,MSFT,0.36
2016-05-18,2016,TCEHY,0.061
2016-06-01,2016,PEP,0.753
2016-06-02,2016,BF-B,0.136
2016-06-02,2016,MCD,0.89
2016-06-10,2016,KDP,0.53
2016-06-13,2016,DPZ,0.38
2016-06-13,2016,KO,0.35
2016-06-13,2016,MO,0.565
2016-06-17,2016,SPY,1.078
2016-06-21,2016,PM,1.02
2016-07-06,2016,PRNDY,0.199
2016-07-07,2016,UVV,0.53
2016-07-13,2016,YUM,0.330697
2016-08-08,2016,STZ,0.4
2016-08-10,2016,DEO,1.925
2016-08-16,2016,MSFT,0.36
2016-08-17,2016,BTI,0.6745
2016-08-30,2016,BF-B,0.136
2016-08-30,2016,MCD,0.89
2016-08-31,2016,PEP,0.753
2016-09-01,2016,QSR,0.16
2016-09-09,2016,KDP,0.53
2016-09-13,2016,DPZ,0.38
2016-09-13,2016,KO,0.35
2016-09-13,2016,MO,0.61
2016-09-16,2016,SPY,1.082
2016-09-26,2016,PM,1.04
2016-10-06,2016,UVV,0.53
2016-10-17,2016,YUM,0.366643
2016-11-04,2016,STZ,0.4
2016-11-14,2016,BUD,1.749
2016-11-15,2016,MSFT,0.39
2016-11-22,2016,PRNDY,0.216
2016-11-29,2016,KO,0.35
2016-11-29,2016,MCD,0.94
2016-11-30,2016,BF-B,0.1464
2016-11-30,2016,PEP,0.753
2016-12-06,2016,QSR,0.17
2016-12-09,2016,KDP,0.53
2016-12-13,2016,DPZ,0.38
2016-12-16,2016,SPY,1.329
2016-12-20,2016,MO,0.61
2016-12-20,2016,PM,1.04
2017-01-05,2017,UVV,0.54
2017-01-11,2017,YUM,0.3
2017-02-07,2017,STZ,0.4
2017-02-14,2017,MSFT,0.39
2017-02-22,2017,DEO,1.192
2017-02-27,2017,MCD,0.94
2017-03-01,2017,PEP,0.753
2017-03-01,2017,QSR,0.18
2017-03-02,2017,BF-B,0.1464
2017-03-10,2017,KDP,0.58
2017-03-13,2017,DPZ,0.46
2017-03-13,2017,KO,0.37
2017-03-13,2017,MO,0.61
2017-03-15,2017,BTI,1.477
2017-03-17,2017,SPY,1.033
2017-03-21,2017,PM,1.04
2017-04-06,2017,UVV,0.54
2017-04-11,2017,YUM,0.3
2017-05-01,2017,BUD,2.12
2017-05-08,2017,STZ,0.52
2017-05-11,2017,QSR,0.19
2017-05-16,2017,MSFT,0.39
2017-05-17,2017,TCEHY,0.079
2017-05-31,2017,PEP,0.805
2017-06-01,2017,BF-B,0.1464
2017-06-01,2017,MCD,0.94
2017-06-12,2017,KDP,0.58
2017-06-13,2017,DPZ,0.46
2017-06-13,2017,KO,0.37
2017-06-13,2017,MO,0.61
2017-06-16,2017,SPY,1.183
2017-06-21,2017,PM,1.04
2017-06-29,2017,PRNDY,0.211
2017-07-06,2017,UVV,0.54
2017-07-12,2017,YUM,0.3
2017-08-07,2017,STZ,0.52
2017-08-09,2017,DEO,2.032
2017-08-15,2017,MSFT,0.39
2017-08-16,2017,BTI,0.738
2017-08-30,2017,MCD,0.94
2017-08-30,2017,PEP,0.805
2017-09-06,2017,BF-B,0.1464
2017-09-13,2017,KDP,0.58
2017-09-14,2017,DPZ,0.46
2017-09-14,2017,KO,0.37
2017-09-14,2017,MO,0.66
2017-09-14,2017,QSR,0.2
2017-09-15,2017,SPY,1.235
2017-09-26,2017,PM,1.07
2017-10-06,2017,UVV,0.54
2017-11-06,2017,STZ,0.52
2017-11-14,2017,BUD,1.853
2017-11-14,2017,YUM,0.3
2017-11-15,2017,MSFT,0.42
2017-11-16,2017,PRNDY,0.254
2017-11-24,2017,TPB,0.04
2017-11-30,2017,KO,0.37
2017-11-30,2017,MCD,1.01
2017-11-30,2017,PEP,0.805
2017-12-06,2017,BF-B,0.1584
2017-12-13,2017,KDP,0.58
2017-12-14,2017,DPZ,0.46
2017-12-14,2017,QSR,0.21
2017-12-15,2017,SPY,1.351
2017-12-20,2017,MO,0.66
2017-12-20,2017,PM,1.07
2017-12-28,2017,BTI,0.586
2018-01-05,2018,UVV,0.55
2018-02-08,2018,STZ,0.52
2018-02-13,2018,YUM,0.36
2018-02-14,2018,MSFT,0.42
2018-02-22,2018,DEO,1.423
2018-02-28,2018,MCD,1.01
2018-03-01,2018,PEP,0.805
2018-03-02,2018,BF-B,0.158
2018-03-14,2018,DPZ,0.55
2018-03-14,2018,KO,0.39
2018-03-14,2018,MO,0.7
2018-03-14,2018,QSR,0.45
2018-03-16,2018,SPY,1.097
2018-03-20,2018,KDP,0.58
2018-03-21,2018,PM,1.07
2018-03-22,2018,BTI,0.679
2018-03-23,2018,TPB,0.04
2018-03-29,2018,BF-B,1.0
2018-04-06,2018,UVV,0.55
2018-05-01,2018,BUD,2.478
2018-05-09,2018,STZ,0.74
2018-05-14,2018,QSR,0.45
2018-05-15,2018,YUM,0.36
2018-05-16,2018,MSFT,0.42
2018-05-17,2018,TCEHY,0.112
2018-05-31,2018,PEP,0.928
2018-06-01,2018,MCD,1.01
2018-06-05,2018,BF-B,0.158
2018-06-14,2018,DPZ,0.55
2018-06-14,2018,KO,0.39
2018-06-14,2018,MO,0.7
2018-06-15,2018,SPY,1.246
2018-06-21,2018,PM,1.14
2018-06-21,2018,TPB,0.04
2018-06-28,2018,BTI,0.679
2018-07-02,2018,PRNDY,0.235
2018-07-06,2018,UVV,0.75
2018-07-10,2018,KDP,103.75
2018-08-09,2018,DEO,2.13
2018-08-09,2018,STZ,0.74
2018-08-15,2018,MSFT,0.42
2018-08-17,2018,YUM,0.36
2018-08-31,2018,MCD,1.01
2018-09-05,2018,BF-B,0.158
2018-09-06,2018,PEP,0.928
2018-09-06,2018,QSR,0.45
2018-09-13,2018,DPZ,0.55
2018-09-13,2018,KO,0.39
2018-09-13,2018,MO,0.8
2018-09-20,2018,TPB,0.04
2018-09-21,2018,SPY,1.323
2018-09-25,2018,PM,1.14
2018-10-04,2018,BTI,0.679
2018-10-04,2018,KDP,0.15
2018-10-05,2018,UVV,0.75
2018-11-05,2018,STZ,0.74
2018-11-14,2018,MSFT,0.46
2018-11-23,2018,YUM,0.36
2018-11-26,2018,PRNDY,0.307
2018-11-27,2018,BUD,0.913
2018-11-29,2018,KO,0.39
2018-11-30,2018,MCD,1.16
2018-12-06,2018,BF-B,0.166
2018-12-06,2018,PEP,0.928
2018-12-13,2018,DPZ,0.55
2018-12-14,2018,QSR,0.45
2018-12-19,2018,PM,1.14
2018-12-20,2018,TPB,0.045
2018-12-21,2018,SPY,1.435
2018-12-24,2018,MO,0.8
2018-12-27,2018,BTI,0.679
2018-12-28,2018,TCEHY,0.003
2019-01-03,2019,KDP,0.15
2019-01-04,2019,UVV,0.75
2019-02-11,2019,STZ,0.74
2019-02-13,2019,YUM,0.42
2019-02-20,2019,MSFT,0.46
2019-02-28,2019,DEO,1.369
2019-02-28,2019,MCD,1.16
2019-02-28,2019,PEP,0.928
2019-03-01,2019,BF-B,0.166
2019-03-14,2019,DPZ,0.65
2019-03-14,2019,KO,0.4
2019-03-14,2019,QSR,0.5
2019-03-15,2019,SPY,1.233
2019-03-21,2019,BTI,0.674
2019-03-21,2019,TPB,0.045
2019-03-22,2019,MO,0.8
2019-03-25,2019,PM,1.14
2019-04-04,2019,KDP,0.15
2019-04-05,2019,UVV,0.75
2019-05-07,2019,BUD,1.115
2019-05-09,2019,STZ,0.75
2019-05-15,2019,MSFT,0.46
2019-05-15,2019,YUM,0.42
2019-05-16,2019,TCEHY,0.127
2019-05-31,2019,MCD,1.16
2019-06-05,2019,BF-B,0.166
2019-06-06,2019,PEP,0.955
2019-06-13,2019,DPZ,0.65
2019-06-13,2019,KO,0.4
2019-06-13,2019,MO,0.8
2019-06-14,2019,QSR,0.5
2019-06-20,2019,PM,1.14
2019-06-20,2019,TPB,0.045
2019-06-21,2019,SPY,1.432
2019-06-27,2019,BTI,0.674
2019-07-03,2019,KDP,0.15
2019-07-05,2019,PRNDY,0.268
2019-07-05,2019,UVV,0.76
2019-08-08,2019,DEO,2.121
2019-08-12,2019,STZ,0.75
2019-08-14,2019,MSFT,0.46
2019-08-16,2019,YUM,0.42
2019-08-30,2019,MCD,1.16
2019-09-05,2019,BF-B,0.166
2019-09-05,2019,PEP,0.955
2019-09-12,2019,DPZ,0.65
2019-09-13,2019,KO,0.4
2019-09-13,2019,MO,0.84
2019-09-16,2019,QSR,0.5
2019-09-19,2019,TPB,0.045
2019-09-20,2019,SPY,1.384
2019-09-24,2019,PM,1.17
2019-10-03,2019,BTI,0.674
2019-10-03,2019,KDP,0.15
2019-10-04,2019,UVV,0.76
2019-11-07,2019,STZ,0.75
2019-11-19,2019,BUD,0.891
2019-11-20,2019,MSFT,0.51
2019-11-20,2019,YUM,0.42
2019-11-21,2019,PRNDY,0.43
2019-11-29,2019,KO,0.4
2019-11-29,2019,MCD,1.25
2019-12-04,2019,BF-B,0.174
2019-12-05,2019,PEP,0.955
2019-12-12,2019,DPZ,0.65
2019-12-16,2019,QSR,0.5
2019-12-18,2019,PM,1.17
2019-12-19,2019,TPB,0.045
2019-12-20,2019,SPY,1.57
2019-12-24,2019,MO,0.84
2019-12-26,2019,BTI,0.674
2020-01-02,2020,KDP,0.15
2020-01-10,2020,UVV,0.76
2020-02-10,2020,STZ,0.75
2020-02-13,2020,YUM,0.47
2020-02-19,2020,MSFT,0.51
2020-02-27,2020,DEO,1.436
2020-02-28,2020,MCD,1.25
2020-03-05,2020,PEP,0.955
2020-03-06,2020,BF-B,0.174
2020-03-12,2020,DPZ,0.78
2020-03-13,2020,KO,0.41
2020-03-13,2020,QSR,0.52
2020-03-19,2020,TPB,0.05
2020-03-20,2020,PM,1.17
2020-03-20,2020,SPY,1.406
2020-03-24,2020,MO,0.84
2020-03-26,2020,BTI,0.677
2020-04-02,2020,KDP,0.15
2020-04-09,2020,UVV,0.76
2020-05-04,2020,STZ,0.75
2020-05-14,2020,TCEHY,0.155
2020-05-20,2020,MSFT,0.51
2020-05-28,2020,YUM,0.47
2020-05-29,2020,MCD,1.25
2020-06-04,2020,PEP,1.023
2020-06-05,2020,BF-B,0.174
2020-06-09,2020,BUD,0.551
2020-06-12,2020,DPZ,0.78
2020-06-12,2020,KO,0.41
2020-06-12,2020,MO,0.84
2020-06-16,2020,QSR,0.52
2020-06-18,2020,TPB,0.05
2020-06-19,2020,PM,1.17
2020-06-19,2020,SPY,1.366
2020-07-01,2020,KDP,0.15
2020-07-06,2020,PRNDY,0.266
2020-07-09,2020,BTI,0.677
2020-07-10,2020,UVV,0.77
2020-08-10,2020,STZ,0.75
2020-08-13,2020,DEO,2.208
2020-08-19,2020,MSFT,0.51
2020-08-25,2020,YUM,0.47
2020-08-31,2020,MCD,1.25
2020-09-03,2020,BF-B,0.174
2020-09-03,2020,PEP,1.023
2020-09-14,2020,DPZ,0.78
2020-09-14,2020,KO,0.41
2020-09-14,2020,MO,0.86
2020-09-17,2020,QSR,0.52
2020-09-17,2020,TPB,0.05
2020-09-18,2020,SPY,1.339
2020-09-23,2020,PM,1.2
2020-10-01,2020,BTI,0.677
2020-10-01,2020,KDP,0.15
2020-10-08,2020,UVV,0.77
2020-11-05,2020,STZ,0.75
2020-11-18,2020,MSFT,0.56
2020-11-24,2020,YUM,0.47
2020-11-30,2020,KO,0.41
2020-11-30,2020,MCD,1.29
2020-12-01,2020,EA,0.17
2020-12-03,2020,BF-B,0.18
2020-12-03,2020,PEP,1.023
2020-12-07,2020,PRNDY,0.35
2020-12-14,2020,DPZ,0.78
2020-12-17,2020,BTI,0.677
2020-12-17,2020,TPB,0.05
2020-12-18,2020,QSR,0.52
2020-12-18,2020,SPY,1.58
2020-12-22,2020,PM,1.2
2020-12-24,2020,MO,0.86
2021-01-07,2021,KDP,0.15
2021-01-08,2021,UVV,0.77
2021-02-08,2021,STZ,0.75
2021-02-11,2021,YUM,0.5
2021-02-17,2021,MSFT,0.56
2021-02-25,2021,DEO,1.535
2021-02-26,2021,MCD,1.29
2021-03-02,2021,EA,0.17
2021-03-04,2021,PEP,1.023
2021-03-05,2021,BF-B,0.18
2021-03-12,2021,DPZ,0.94
2021-03-12,2021,KO,0.42
2021-03-18,2021,TPB,0.055
2021-03-19,2021,PM,1.2
2021-03-19,2021,SPY,1.278
2021-03-22,2021,QSR,0.53
2021-03-24,2021,MO,0.86
2021-03-25,2021,BTI,0.746
2021-03-31,2021,KDP,0.15
2021-04-09,2021,UVV,0.77
2021-05-03,2021,STZ,0.76
2021-05-04,2021,BUD,0.596
2021-05-19,2021,MSFT,0.56
2021-05-21,2021,TCEHY,0.206
2021-05-27,2021,YUM,0.5
2021-05-28,2021,MCD,1.29
2021-06-01,2021,EA,0.17
2021-06-03,2021,PEP,1.075
2021-06-07,2021,BF-B,0.18
2021-06-14,2021,DPZ,0.94
2021-06-14,2021,KO,0.42
2021-06-14,2021,MO,0.86
2021-06-17,2021,TPB,0.055
2021-06-18,2021,SPY,1.376
2021-06-22,2021,QSR,0.53
2021-06-24,2021,PM,1.2
2021-06-30,2021,KDP,0.188
2021-07-02,2021,PRNDY,0.322
2021-07-08,2021,BTI,0.746
2021-07-09,2021,UVV,0.78
2021-08-09,2021,STZ,0.76
2021-08-18,2021,MSFT,0.56
