,Expected Annual Return
BF-B,0.0054623980051732345
BTI,0.08387265831050734
BUD,0.003176872981468634
CCOEY,0.3170761175094806
CELH,0.6385362402003321
CMG,0.2233944392657179
DEO,0.012260596894011537
DPZ,0.15130769639409514
EA,0.13591373873596316
GOOGL,0.2644186206837495
KDP,0.11112572968384522
KO,0.10250375207283902
MCD,0.1367706670967937
META,0.24532947836691385
MNST,0.16800588013208773
MO,0.07459525887443716
MSFT,0.26234228868393195
NTDOY,0.16851266227794412
PEP,0.0710299560342108
PM,0.12085150336413315
PRNDY,0.009537306616245425
QSR,0.08688866543849623
SNAP,0.07093924077815203
STZ,0.02835819427393569
TCEHY,0.18246618563227043
TPB,0.3297325472241336
TTWO,0.21446767121668175
UBSFY,-0.11011791201888707
UVV,0.06561209861458944
YUM,0.14412996863021577
