,Weight
BF-B,0.038015661998212415
BTI,0.035278641407282735
BUD,0.029275492941381247
CCOEY,0.025759236338804073
CELH,0.012353430566419363
CMG,0.02507893882487764
DEO,0.04379173144413557
DPZ,0.028827899639024063
EA,0.03191420434941079
GOOGL,0.03427119192959748
KDP,0.04056596399245687
KO,0.0531548122012197
MCD,0.051113164590457984
META,0.02405023672457658
MNST,0.035770099778852205
MO,0.037689510014645336
MSFT,0.04268415580193651
NTDOY,0.029154092522732666
PEP,0.05644763382719466
PM,0.03645197961699927
PRNDY,0.04079177343029145
QSR,0.03560315950900889
SNAP,0.014424769174925635
STZ,0.035261972316543246
TCEHY,0.02557978279983287
TPB,0.019632047733283982
TTWO,0.02873528558759645
UBSFY,0.02163455939057881
UVV,0.029042246748641455
YUM,0.03764632479933881
