,Weight
BF-B,0.012391984611542235
BTI,7.0782948184205435e-15
BUD,7.557489729622373e-15
CCOEY,0.10693594353895584
CELH,0.04467325170286063
CMG,7.18813324643912e-15
DEO,0.03246893762201095
DPZ,0.034666840100959585
EA,7.274919170734186e-15
GOOGL,0.00449625022533284
KDP,0.09414447781398239
KO,7.0782948184205435e-15
MCD,0.06457494632052481
META,0.016728777173744457
MNST,7.082016441493158e-15
MO,0.08337178498539836
MSFT,7.0782948184205435e-15
NTDOY,0.0440003299707521
PEP,0.039357763035337216
PM,7.136289924441865e-15
PRNDY,0.054808538394380046
QSR,7.38563359889538e-15
SNAP,0.08742319775197242
STZ,7.247969218692198e-15
TCEHY,0.06057610707931315
TPB,0.038862160027807624
TTWO,0.00539783494369974
UBSFY,0.09169048419479364
UVV,0.08343039050676505
YUM,7.373263212902057e-15
