,Weight
BF-B,0.0
BTI,6.67067007620704e-16
BUD,0.0
CCOEY,0.20754329334698923
CELH,0.09177940272314947
CMG,0.0
DEO,0.0
DPZ,7.097667058068419e-16
EA,1.9698073383933602e-17
GOOGL,0.170708398934536
KDP,7.356737228915896e-16
KO,0.0
MCD,0.13798518730423678
META,0.0
MNST,1.8404282295773724e-16
MO,3.219212201273231e-16
MSFT,0.25
NTDOY,2.9293227509978986e-16
PEP,6.051259058088038e-16
PM,9.579748606656428e-16
PRNDY,0.0
QSR,0.0
SNAP,0.0
STZ,0.0
TCEHY,0.027581929910948665
TPB,0.11440178778014126
TTWO,0.0
UBSFY,0.0
UVV,3.260271841685102e-16
YUM,3.6835757414608442e-16
