,Weight
BF-B,0.0
BTI,0.0
BUD,0.0
CCOEY,0.03555449095018556
CELH,0.0
CMG,0.0
DEO,0.06063379004627626
DPZ,0.009908697237913704
EA,0.0
GOOGL,0.03558090252036921
KDP,0.06420935704889708
KO,0.024033411047498204
MCD,0.1285486127095995
META,0.0
MNST,0.0
MO,0.09163703502203142
MSFT,0.07935488043813348
NTDOY,0.05297386129310978
PEP,0.23840864713121152
PM,0.0
PRNDY,0.04539273957667028
QSR,0.0
SNAP,0.01946140623996673
STZ,0.0
TCEHY,0.055121692187766524
TPB,0.007676423528093923
TTWO,0.0
UBSFY,0.035200852529503605
UVV,0.01630320049183935
YUM,0.0
