,Weight
BF-B,0.0356676117184086
BTI,0.03559492509052372
BUD,0.021282785680488244
CCOEY,0.03720130555294869
CELH,0.016196518531935683
CMG,0.02367686936778945
DEO,0.039787715904344566
DPZ,0.030499095721029875
EA,0.026887816740359345
GOOGL,0.03540213849890326
KDP,0.042627961386324686
KO,0.04244989403500178
MCD,0.043381260361066036
META,0.024754996971162953
MNST,0.0301936343637479
MO,0.042368947567492724
MSFT,0.03877183694637474
NTDOY,0.03452567161310305
PEP,0.04940087717897674
PM,0.03425567609759903
PRNDY,0.041127700297096385
QSR,0.027281902322984247
SNAP,0.02590809798974104
STZ,0.029518741864859817
TCEHY,0.03597693228834737
TPB,0.026918340136669022
TTWO,0.030877442386986177
UBSFY,0.035046055338486495
UVV,0.03399825791587893
YUM,0.028418990132245456
