Strategy,Total Return,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Best Year,Best Year Return,Worst Year,Worst Year Return,Final Portfolio Value,CAGR Rank,Sharpe Rank,Volatility Rank,Drawdown Rank,Average Risk-Return Rank,Overall Rank
Kelly Criterion,0.5263084992559688,0.11150285010379357,0.14881510527442687,0.5298429433558811,2.0539424750170476,-0.03677687823895481,3.0318737055198857,2025.0,0.3009362034594675,2022.0,-0.03677687823895486,15263084.992559688,3.0,2.0,7.0,1.0,3.25,1
Core-Satellite,0.13724504482681255,0.03267464327255776,0.06832556624619841,-0.0815060836242273,-0.10694511537029085,-0.06414593124432455,0.5093798256370113,2025.0,0.0834717987595778,2022.0,-0.06414593124432448,11372450.448268125,5.0,5.0,1.0,2.0,3.25,1
Mean-Variance Optimization,0.5887980484768187,0.12270892327682503,0.16277844971572905,0.5651800198572462,1.4156491755620515,-0.08997447253291602,1.3638193125492737,2025.0,0.3005391113987855,2022.0,-0.08997447253291598,15887980.484768188,2.0,1.0,9.0,4.0,4.0,3
Maximum Sharpe Ratio,0.3335942546335877,0.07462249887557992,0.15781611991735742,0.27311892992982406,0.6922780491704172,-0.08386382246936575,0.889805600058815,2025.0,0.27864239524602474,2022.0,-0.07353342265374019,13335942.546335878,4.0,4.0,8.0,3.0,4.75,4
Behavioral Finance (Custom),0.11165997754715451,0.026816863640167554,0.10300503196417848,-0.08898799127021,-0.1217503002796077,-0.10969346805834357,0.24447092534173728,2023.0,0.128476370274495,2022.0,-0.10969346805834353,11116599.775471546,6.0,6.0,3.0,5.0,5.0,5
Black-Litterman,0.6730167742549467,0.13730009086283101,0.5156004160134792,0.32730826926973783,1.2546329549073438,-0.16314581223078073,0.8415790082837725,2023.0,0.9434683379972176,2022.0,-0.16314581223078076,16730167.742549466,1.0,3.0,10.0,8.0,5.5,6
Factor-Based,0.07062575147580019,0.01720719003661131,0.12837805167680805,-0.12842351418208092,-0.17284295753902512,-0.14612624505928862,0.11775564361918517,2025.0,0.14349083333333332,2022.0,-0.14612624505928856,10706257.514758002,7.0,7.0,5.0,7.0,6.5,7
Equal Weight,0.05373431599172673,0.013171070930843243,0.12426689356417545,-0.16876806047996112,-0.22415380070668528,-0.13865000000000005,0.09499510227798945,2023.0,0.14484347826086955,2022.0,-0.13865,10537343.159917267,8.0,8.0,4.0,6.0,6.5,7
Minimum Variance,-0.07476270635558813,-0.01923878631728637,0.09034516891125499,-0.6224363279470909,-0.6278792189459081,-0.16725300402044363,-0.11502804646148407,2025.0,0.11106650412597356,2022.0,-0.10188967132587745,9252372.936444119,9.0,9.0,2.0,9.0,7.25,9
Risk Parity,-0.32081198946077416,-0.09218468996667906,0.13776249421862966,-0.8979417659945561,-0.719783016727939,-0.32081198946077416,-0.2873480200089296,2023.0,0.025838134866510813,2022.0,-0.28126809937802133,6791880.105392259,10.0,10.0,6.0,10.0,9.0,10
