,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,SPY
2020-01-01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2020-01-03,10107.081218250452,10037.638204610836,10099.258512652099,10060.563714530803,10090.493278575785,10069.267224142246,10062.58956445265,10054.790912165734
2020-01-10,10246.570563908668,10247.392607332782,10232.809452260755,10180.400897012902,10222.547127382759,10204.009734477697,10198.042258033422,10186.230977610609
2020-01-17,10365.45612561894,10261.062621187175,10322.07432322314,10232.886372429293,10306.262667202605,10296.02590147463,10268.3104885225,10210.853188675268
2020-01-24,10180.418694032876,10163.27050835108,10146.330762685699,10052.639977794399,10120.601391102715,10100.9909533581,10079.779935402436,10086.497213254608
2020-01-31,10242.432413868168,10380.5031664902,10230.765091891893,10100.95367154619,10169.216059177188,10070.122662135074,10162.21403721161,10280.419282493189
2020-02-07,10262.360203067548,10412.50116240526,10272.972719246349,10145.142326819463,10202.111654474964,10067.57802904038,10212.90748434643,10375.227986298461
2020-02-14,10421.37533520702,10480.001756420364,10396.930523534325,10283.37516779792,10337.100316330729,10246.280023050276,10319.404594951933,10371.84464798751
2020-02-21,9572.46166046479,9493.294033083394,9492.187676013682,9469.038301644254,9497.638317140656,9574.843246005754,9410.096305393627,9157.817737514371
2020-02-28,9627.497579234465,9636.494280068253,9562.215414943732,9469.253490485547,9542.707535549764,9574.877005659808,9446.434032744683,9310.183384562624
2020-03-06,8126.365065062468,8146.048349457319,8040.4270612932405,7936.907642655468,8034.037608529211,8097.325987446142,7922.035072270859,7637.208641806606
2020-03-13,7792.6607078001,8220.342121341122,7686.19810460599,7462.703338789197,7693.353508485283,7862.750519748522,7513.991553561818,7403.267750365493
2020-03-20,8384.596712354918,8829.865872048029,8353.820861945656,8132.857272789946,8291.777088399494,8228.71264254356,8215.627779929719,8087.418330459096
2020-03-27,8343.455717780931,8783.15525632024,8230.046354051457,7913.320660565169,8210.715239021685,8270.455535535168,8025.187669826356,7797.298358498654
2020-04-03,9023.04323612117,9492.398157996668,8977.865355612312,8789.96967197367,8945.937118663587,8982.338750395511,8853.183826940016,8613.779410464382
2020-04-10,9202.448599917363,9822.879345056563,9097.183163602325,8743.81596262982,9063.35476544017,9103.071503813915,8895.55573003852,8641.64737968023
2020-04-17,9100.51474803977,9622.98298560184,8992.726532124238,8603.90739452556,8946.664799591781,8934.497409081992,8783.040808607568,8641.025950194544
2020-04-24,9422.325972687164,9848.92367684455,9292.416378731936,8905.40284495369,9255.206293582853,9256.859940841585,9067.562040030445,8994.000474471208
2020-05-01,9423.680195742523,10027.496718924234,9262.875375598587,8760.387840466303,9212.859601744272,9177.571980829529,9003.7016319373,8907.306423684651
2020-05-08,9560.55381745195,9960.745281360762,9296.352869317692,8628.228301319961,9259.314849039501,9275.549879118176,8960.510115767878,8823.39901523523
2020-05-15,9931.025370263022,10209.74403668643,9637.892707633306,8901.21063436907,9586.33702864551,9617.883369999392,9269.799054221383,9130.236780092499
2020-05-22,10099.938802165248,10369.147186929502,9816.53388550086,9181.024175171297,9785.926457378031,9864.995676602688,9501.943509224184,9380.723360410353
2020-05-29,10375.949236329467,10582.83520225774,10065.857157734377,9453.312479872508,10058.337079484734,10190.701982741377,9759.365917059558,9640.497374434666
2020-06-05,10202.209273935314,10608.560999134907,9853.628377366083,9155.001548816843,9845.689512874571,9997.010396759651,9503.000006486416,9307.649230159144
2020-06-12,10608.564735960063,10863.489958508355,10216.603183246772,9393.968793705499,10195.987227901733,10360.870077267724,9797.049732073427,9653.501018299303
2020-06-19,10644.9509815599,10858.45425595742,10144.193507500457,9150.396937430629,10132.764538526822,10334.70895778139,9638.90787984092,9558.216194390572
2020-06-26,10752.88672544442,10927.213560078624,10264.485495630448,9242.480492125978,10227.491636211926,10366.211053773777,9739.956723187755,9709.979992650035
