Strategy,Initial Value ($),Final Value ($),Return Amount ($),Total Return,CAGR,Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Beta,Alpha,Tracking Error,Information Ratio,Turnover,Column1,Column2
Density Selection,10000,32591.07,22591.07,2.259106931,0.218236466,0.182558154,0.949303742,0.946821266,-0.254011046,0.85916132,0.709049038,0.091487964,0.137766744,0.420391368,0.43821877,,
Eligible Universe Equal Weight,10000,27264.36,17264.36,1.726435794,0.182447515,0.162309188,0.864002697,0.787863675,-0.272503141,0.669524448,0.710918387,0.058204702,0.108941124,0.228090062,0.135413362,,
Partitioning Selection,10000,25065.62,15065.62,1.506562473,0.165951369,0.16736359,0.759135928,0.683305175,-0.254392934,0.652342682,0.749062662,0.040619479,0.104481986,0.111641499,0.440611447,,
Max Sharpe,10000,24400.54,14400.54,1.440054114,0.160724166,0.215840124,0.611407166,0.54066163,-0.333268115,0.482266857,0.834651871,0.035658066,0.153683347,0.107877725,0.228302596,,
Equal Weight,10000,23932.92,13932.92,1.393291598,0.156977364,0.1578595,0.746384723,0.681413696,-0.252242582,0.622326978,0.700457751,0.037000069,0.105647856,0.023064648,0.134909609,,
Maximum Diversification,10000,23252.84,13252.84,1.325283543,0.151417951,0.161917977,0.701770312,0.657432439,-0.25485997,0.594122141,0.624536619,0.041565704,0.132928647,-0.013224837,0.199416776,,
SPY,10000,22906.36,12906.36,1.290635872,0.148533372,0.185248044,0.622879391,0.54296966,-0.286447704,0.518535738,1,0,0,,0,,
Risk Parity,10000,20880.27,10880.27,1.088027222,0.130898,0.152441063,0.618401457,0.551974442,-0.255753231,0.51181367,0.68156888,0.015625459,0.103810106,-0.203423481,0.119463791,,
Inverse Volatility,10000,20075.98,10075.98,1.007597546,0.123499885,0.15331818,0.573079086,0.513266832,-0.260724299,0.473679997,0.700961178,0.006981503,0.09855841,-0.279263292,0.106613537,,
Hierarchical Risk Parity,10000,17633.72,7633.72,0.763371919,0.099412374,0.154050637,0.430869258,0.383493143,-0.271858034,0.36567753,0.699490195,-0.014336524,0.100199069,-0.489141321,0.150893288,,
Minimum Variance,10000,15266.69,5266.69,0.52666887,0.07325073,0.155366141,0.274062134,0.249224665,-0.274294362,0.267051532,0.634961755,-0.030686476,0.121966047,-0.596946564,0.153395161,,
