,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2020-01-01,10000.0,10000.0,10000.0,10000.0,10000.0
2020-01-03,10115.474215249196,10142.240128344074,10119.060720990048,10064.032133377917,10054.790912165734
2020-01-10,10233.665159583366,10261.532394765765,10208.48035615472,10181.317301017667,10186.230977610609
2020-01-17,10287.752840134175,10337.597090815198,10210.000969802813,10217.902410639177,10210.853188675268
2020-01-24,10127.519716938452,10169.820804540901,10017.018186466154,10130.88288961602,10086.497213254608
2020-01-31,10178.617657935032,10164.143740859652,10001.968096021057,10049.937331634006,10280.419282493189
2020-02-07,10187.628916095911,10140.220571773541,10108.23486980351,10109.559895813269,10375.227986298461
2020-02-14,10315.140410869883,10304.291341518592,10330.034612537089,10385.989024156312,10371.84464798751
2020-02-21,9451.457940524288,9402.58759536758,9494.93040880873,9575.10097567032,9157.817737514371
2020-02-28,9509.842011290353,9425.683270585305,9513.647875231438,9646.813224398458,9310.183384562624
2020-03-06,8035.270550661835,7980.709134345734,8106.982994134747,8296.258153042527,7637.208641806606
2020-03-13,7758.956347632823,7540.202497117048,7539.289745883294,7928.068557903925,7403.267750365493
2020-03-20,8379.28210697051,8091.198318446541,8208.641738791588,8442.867786962977,8087.418330459096
2020-03-27,8354.853253388927,8067.187646180285,8176.008092038205,8409.817505362924,7797.298358498654
2020-04-03,9003.482700509961,8790.4352063251,8864.652324213717,9152.900268932244,8613.779410464382
2020-04-10,9215.908262972267,8959.566979862495,9016.168272071496,9397.7939185016,8641.64737968023
2020-04-17,9082.900552099929,8856.036663771845,9054.12135116673,9361.01502669894,8641.025950194544
2020-04-24,9383.173347721198,9212.719826951092,9352.813681698477,9573.559777833721,8994.000474471208
2020-05-01,9419.385616033936,9214.36019030332,9344.525972358677,9615.796785752793,8907.306423684651
2020-05-08,9423.184139689756,9241.246752626996,9343.991603289614,9615.060904794904,8823.39901523523
2020-05-15,9665.009846835168,9501.32471493743,9558.299652548856,9784.024016020792,9130.236780092499
2020-05-22,9817.990963837845,9681.94104394633,9697.648066746964,9931.095671276606,9380.723360410353
2020-05-29,10067.982755020863,9894.643546988133,9971.44222041313,10130.632610559669,9640.497374434666
2020-06-05,9927.414318789915,9717.438364865451,9677.406811445835,9977.321497748635,9307.649230159144
2020-06-12,10237.54646011052,10018.979270205,9892.107535355055,10216.382883367036,9653.501018299303
2020-06-19,10188.15909373668,9926.16751557934,9803.918315256,10140.606131448563,9558.216194390572
2020-06-26,10315.772235712335,10014.878682213848,9842.246495101755,10196.942228848162,9709.979992650035
