Rebalance Date,Strategy,Turnover,Cost
2020-01-01,Equal Weight,1.0,0.001
2020-01-01,Eligible Universe Equal Weight,1.0,0.001
2020-01-01,Partitioning Selection,1.0,0.001
2020-01-01,Density Selection,1.0,0.001
2021-01-01,Equal Weight,0.2292985389115679,0.00022929853891156792
2021-01-01,Eligible Universe Equal Weight,0.25496027283008044,0.00025496027283008045
2021-01-01,Partitioning Selection,0.38468075480913977,0.00038468075480913976
2021-01-01,Density Selection,0.58553061663617,0.00058553061663617
2022-01-01,Equal Weight,0.09583069982155099,9.583069982155099e-05
2022-01-01,Eligible Universe Equal Weight,0.06968444906711083,6.968444906711083e-05
2022-01-01,Partitioning Selection,0.41819276502746344,0.0004181927650274634
2022-01-01,Density Selection,0.4255597252931112,0.0004255597252931112
2023-01-01,Equal Weight,0.11210336498176263,0.00011210336498176263
2023-01-01,Eligible Universe Equal Weight,0.11532300611983745,0.00011532300611983746
2023-01-01,Partitioning Selection,0.5269755328361527,0.0005269755328361528
2023-01-01,Density Selection,0.448074451159505,0.000448074451159505
2024-01-01,Equal Weight,0.1146622295378164,0.00011466222953781641
2024-01-01,Eligible Universe Equal Weight,0.1203115644938864,0.0001203115644938864
2024-01-01,Partitioning Selection,0.4785260644193768,0.0004785260644193768
2024-01-01,Density Selection,0.416864842679244,0.000416864842679244
2025-01-01,Equal Weight,0.1226532134987645,0.0001226532134987645
2025-01-01,Eligible Universe Equal Weight,0.11678751861882358,0.00011678751861882359
2025-01-01,Partitioning Selection,0.39468211576697204,0.00039468211576697206
2025-01-01,Density Selection,0.3150642137156884,0.00031506421371568837
