,Equal Weight,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2020-01-01,10000.0,10000.0,10000.0,10000.0,10000.0
2020-01-03,10107.081218250452,10131.097895435132,10150.125655383721,10074.522960264938,10054.790912165734
2020-01-10,10246.570563908668,10275.90424990467,10217.280622324746,10262.182960033375,10186.230977610609
2020-01-17,10365.45612561894,10428.847482343253,10296.50496034872,10460.902060840492,10210.853188675268
2020-01-24,10180.418694032876,10231.607689808854,10183.225829649047,10272.604127571823,10086.497213254608
2020-01-31,10242.432413868168,10241.300650918802,10209.946492453239,10226.11782787188,10280.419282493189
2020-02-07,10262.360203067548,10231.794761160758,10266.380784219984,10313.200431893241,10375.227986298461
2020-02-14,10421.375335207016,10432.207575954948,10499.400053282392,10658.050063026478,10371.84464798751
2020-02-21,9572.461660464789,9549.747312235515,9575.80736687191,9842.972784010826,9157.817737514371
2020-02-28,9627.497579234467,9570.236768461338,9652.579593245719,9947.286134698366,9310.183384562624
2020-03-06,8126.365065062469,8092.205362029356,8213.622037356536,8524.205708130377,7637.208641806606
2020-03-13,7792.6607078001,7589.398245070688,7828.426871709824,7950.787613760206,7403.267750365493
2020-03-20,8384.59671235492,8109.099553611685,8611.417077195776,8432.622720382205,8087.418330459096
2020-03-27,8343.455717780933,8065.017537351692,8537.311153954131,8382.83581314553,7797.298358498654
2020-04-03,9023.043236121172,8822.430071184051,9194.546009100199,9165.024723989025,8613.779410464382
2020-04-10,9202.448599917365,8953.669311138186,9460.747945931802,9346.53619586564,8641.64737968023
2020-04-17,9100.514748039774,8886.248586090871,9494.821426259425,9395.111854871597,8641.025950194544
2020-04-24,9422.325972687167,9266.521452822399,9738.71402319807,9678.027753031949,8994.000474471208
2020-05-01,9423.680195742525,9227.714976188801,9728.343431760952,9639.068009240513,8907.306423684651
2020-05-08,9560.55381745195,9413.368484818042,9747.608092617933,9971.04239007467,8823.39901523523
2020-05-15,9931.025370263022,9827.091715694223,10056.45244138006,10466.827278022405,9130.236780092499
2020-05-22,10099.938802165248,10025.721430938756,10127.800201379365,10640.105055956597,9380.723360410353
2020-05-29,10375.949236329467,10271.13799029427,10288.512954207361,10906.767547099918,9640.497374434666
2020-06-05,10202.209273935314,10055.592390726431,10091.903054521848,10661.157665306353,9307.649230159144
2020-06-12,10608.564735960063,10472.94521142239,10403.492582857441,11145.52322813265,9653.501018299303
2020-06-19,10644.9509815599,10484.79905278218,10315.925518031847,11299.404312555733,9558.216194390572
2020-06-26,10752.886725444421,10551.453406498487,10457.26470385717,11313.372448566945,9709.979992650035
2020-07-03,11063.842754331201,10830.732823569646,10641.556728039099,11841.198310793789,9776.83982804439
2020-07-10,11238.49368605208,11157.110217152149,10771.60955823443,12153.034719326497,9976.183689197049
2020-07-17,11390.190996850397,11276.185727097805,10720.113765628907,12396.221774858994,10043.669076329066
2020-07-24,11479.524894704176,11359.564209320255,10876.105520768553,12513.819754304652,10074.767345251183
2020-07-31,12228.76800111647,12050.620611023305,11102.027987760084,13779.85842338201,10397.261423120935
2020-08-07,12183.92479800564,12103.513602895151,11067.58713976139,13847.961142645165,10475.005034300239
2020-08-14,12400.950316797302,12318.056193517566,11280.073357461619,14222.591229838928,10520.099379250694
2020-08-21,12481.523183377685,12309.448268681152,11423.876164668598,14007.251064663555,10832.643371408521
2020-08-28,12327.467928520553,12124.731524392271,11263.34016642069,13516.6318418574,10741.213883662225
2020-09-04,12232.307572983114,12051.1950927861,10903.372255473336,13599.52938856819,10383.57966880592
2020-09-11,12451.497253376796,12169.850299281963,10852.365943707966,13789.12245196587,10444.220056528453
2020-09-18,12094.446025640887,11793.914107279455,10878.29078579884,13276.235211538498,10100.73134933469
2020-09-25,12528.77597345779,12231.215799641333,11121.44196483638,13935.263051892078,10523.497145443573
2020-10-02,12532.104402317695,12209.20236507731,11109.61429651373,13609.456360060098,10733.941200610023
2020-10-09,12760.271900472195,12438.660531236039,11369.477452322119,14074.440255409563,10850.090802905457
2020-10-16,12825.67878027863,12525.047682479124,11148.289551354326,14306.998025171744,10759.854707106793
2020-10-23,12768.989992317387,12443.03373650068,10734.663383332272,13816.687767851823,10303.059720919427
2020-10-30,13323.839762068239,13019.259879847546,11238.465496999273,14776.880804917437,10935.646081583085
2020-11-06,13939.42169824251,13972.06456828454,11227.56011947122,16231.749258919679,11028.378200954434
2020-11-13,14210.617119379276,14204.646271461905,11435.634570965869,16736.319145638106,11171.069953173286
2020-11-20,14068.15563583251,14061.353199625859,11491.476447796036,16125.612802096559,11323.438691910522
2020-11-27,14662.57034159826,14687.55132760137,11664.933825016935,17250.149127124187,11449.266311287332
2020-12-04,14946.981405850514,14929.702542240584,11953.336799565428,17424.124712180677,11450.516384199665
2020-12-11,15676.1551840885,15628.195377068001,12245.864579638881,18386.96123409697,11622.558570501957
2020-12-18,15860.030908268447,15937.28403994296,12217.980771724247,19137.363359536255,11570.505864212617
2020-12-25,16356.260573781201,16506.58025926452,12268.733491354555,20306.55924127173,11723.522827073393
2021-01-01,16415.582969448427,16578.562647225244,12397.705122419584,20450.488493910292,11887.20302523829
2021-01-08,16441.02557003502,16470.727491009857,12296.563041027708,20568.609573049664,11867.137963735324
2021-01-15,16602.999996890343,16594.317569364986,12524.452290104073,20817.885663848756,12048.375863637564
2021-01-22,16404.849391926396,16380.07555904799,12263.702126926515,20546.290365242217,11841.11212587215
2021-01-29,16574.57234458039,16588.584624892,12531.38643960881,20944.95562851878,12109.521227227402
2021-02-05,17104.38198775537,17161.747991621585,12832.398021188365,21661.766042986335,12251.252494735378
2021-02-12,16997.210603429154,17093.16037464191,12693.271857617185,21401.31573489545,12251.567847011698
2021-02-19,16361.445492059851,16495.614269937894,12227.462415287773,20649.458848877424,11988.485725775032
2021-02-26,16041.024044430993,16237.923699400684,11959.04950047264,20234.60950609027,11811.948223690719
2021-03-05,16437.024049120362,16665.34933124937,12329.294484044645,20363.725328129913,12339.67686078971
2021-03-12,16548.7048166302,16900.480681041143,12271.205202369809,20321.833342776237,12275.396524570595
2021-03-19,16552.60204111747,16896.804405872266,12287.1476370281,20407.353889730723,12259.607268931819
2021-03-26,16854.23291828001,17191.866444180723,12715.88027963808,20753.752798855883,12602.822876932036
2021-04-02,17349.485316895807,17706.80568207643,13221.325521981764,21580.084698029634,12851.661587021681
2021-04-09,17613.36665332774,18039.95078093492,13428.096108052303,22224.527033891485,13082.887975535274
2021-04-16,17486.02454210682,17915.61110187206,13355.147960294706,22071.0584817412,12969.633224691399
2021-04-23,17622.373744456305,18103.400608756438,13535.480059925356,22326.029352025773,13214.699043658171
2021-04-30,17538.87113285066,18068.462083097897,13267.522450948949,21911.024962897314,13183.554399401304
2021-05-07,17139.298666941475,17732.854303473843,13013.761300676904,21231.102236408384,12907.03064502734
2021-05-14,17536.035975637373,18079.557341329903,13451.39783375108,21844.674152404794,13064.328566567283
2021-05-21,17785.952713932907,18275.802555616076,13695.86653314648,22371.566370198885,13190.476691035383
2021-05-28,17847.706475680778,18413.6674859329,13796.578606873798,22715.743238925297,13174.120625749629
2021-06-04,17828.720998736135,18367.211250260774,13631.021587605972,22632.818342102964,13326.382185935434
2021-06-11,17726.8391433508,18317.148097152723,13655.149591254667,22840.319439137413,13274.787049615656
2021-06-18,17767.005373664782,18382.05794432169,13921.72349216169,23111.023865453702,13417.006803983028
2021-06-25,17924.31184604152,18602.805383527655,14110.739982391653,23549.384108880116,13585.231784953681
2021-07-02,17745.547571581443,18495.722639096835,14028.284025496956,23526.622282561802,13600.698474375178
2021-07-09,17818.727634605388,18554.622390898174,13949.812866861685,23442.191528646516,13721.581452504366
2021-07-16,17860.901063061607,18652.772025266073,14162.091316039343,23900.654543978722,13743.98898369384
2021-07-23,18256.651825299807,19187.852636643798,14574.602098476758,24910.781167366455,13907.795941107059
2021-07-30,18110.862806244037,19149.57278192293,14622.817421609276,24827.666173162783,13942.833021794164
2021-08-06,18044.815942013913,19090.214265609968,14622.50541740978,24922.497692486504,14048.560540526192
2021-08-13,17784.21155707332,18895.530790144796,14487.337363949353,24681.583108778785,13882.861469455063
