Strategy,6Y CAGR,10Y CAGR,6Y Volatility,10Y Volatility,6Y Sharpe Ratio,10Y Sharpe Ratio,6Y Maximum Drawdown,10Y Maximum Drawdown,CAGR Change,Sharpe Change,6Y Final Value ($),10Y Final Value ($),6Y Turnover,10Y Turnover
Partitioning Selection,0.165951369,0.2289091691264031,0.16736359,0.1794335339665477,0.759135928,1.0115660481233248,-0.254392934,-0.309236456229771,0.06295780012640312,0.2524301201233249,25065.62,78315.88156480642,0.440611447,0.4099419146186
Density Selection,0.218236466,0.1993249202004783,0.182558154,0.1783210616964208,0.949303742,0.8801550873242703,-0.254011046,-0.301505427691438,-0.0189115457995217,-0.06914865467572973,32591.07,61401.634532649136,0.43821877,0.3281206226530032
Eligible Universe Equal Weight,0.182447515,0.1783884715316521,0.162309188,0.1641010273807774,0.864002697,0.8350663345953515,-0.272503141,-0.3142916602076286,-0.0040590434683479,-0.028936362404648475,27264.36,51500.49172011725,0.135413362,0.140036744060327
Max Sharpe,0.160724166,0.1719252474125445,0.215840124,0.1937402538061138,0.611407166,0.7057594059798141,-0.333268115,-0.2703486914061346,0.0112010814125445,0.09435223997981412,24400.54,48748.53837065593,0.228302596,0.3002969666720687
Equal Weight,0.156977364,0.1655773604170414,0.1578595,0.1572765802505736,0.746384723,0.794785736021786,-0.252242582,-0.284458073547215,0.0085999964170414,0.04840101302178601,23932.92,46175.22766800767,0.134909609,0.1195256201013239
Maximum Diversification,0.151417951,0.1568964807598787,0.161917977,0.1674982098984762,0.701770312,0.7115091690924864,-0.25485997,-0.2647854240202607,0.0054785297598786975,0.009738857092486453,23252.84,42854.05273755142,0.199416776,0.2471430532260656
SPY,0.148533372,0.1477819833517599,0.185248044,0.1708940301586121,0.622879391,0.6552813029964948,-0.286447704,-0.318289688466291,-0.0007513886482400922,0.03240191199649478,22906.36,39599.76969289867,0.0,0.0
Risk Parity,0.130898,0.1439566402915835,0.152441063,0.1515888799976671,0.618401457,0.6957601634077202,-0.255753231,-0.2863171556488426,0.013058640291583518,0.07735870640772013,20880.27,38301.52748051259,0.119463791,0.1152824831727055
Inverse Volatility,0.123499885,0.1381213548042481,0.15331818,0.1497448351345558,0.573079086,0.6684764795471609,-0.260724299,-0.2909141488931097,0.014621469804248083,0.09539739354716092,20075.98,36394.82405166864,0.106613537,0.1013892118999621
Hierarchical Risk Parity,0.099412374,0.1297012322971737,0.154050637,0.1515649024606849,0.430869258,0.6134565220576919,-0.271858034,-0.3014060844657616,0.030288858297173704,0.18258726405769188,17633.72,33793.91360773693,0.150893288,0.1464065389676502
Minimum Variance,0.07325073,0.0980094248940715,0.155366141,0.1497864165231393,0.274062134,0.429614413389463,-0.274294362,-0.2939627512578652,0.024758694894071495,0.15555227938946298,15266.69,25436.023996593714,0.153395161,0.1972291836655658
