rebalance_date,price_eligible_assets,fundamental_eligible_assets,allocation_estimation_weeks,coverage_vs_frozen_universe,frozen_80pct_gate_passed
2016-01-01,25,15,142,0.5,False
2017-01-01,26,17,107,0.5666666666666667,False
2018-01-01,26,17,159,0.5666666666666667,False
2019-01-01,27,20,137,0.6666666666666666,False
2020-01-01,28,23,147,0.7666666666666667,False
2021-01-01,28,23,199,0.7666666666666667,False
2022-01-01,28,23,252,0.7666666666666667,False
2023-01-01,28,23,304,0.7666666666666667,False
2024-01-01,28,23,356,0.7666666666666667,False
2025-01-01,28,23,408,0.7666666666666667,False
