Strategy,Total Return,CAGR,Volatility,Sharpe Ratio,Maximum Drawdown,Average Recurring Turnover
Partitioning Selection,3.0431580628974384,0.15017406579168524,0.15927747674714837,0.7041928327623113,-0.31064100631469704,0.3945203584821409
SPY,2.9599769692898668,0.14778198335175996,0.17089403015861218,0.6552813029964948,-0.318289688466291,0.0
Eligible Universe Equal Weight,2.9394254252470158,0.14718400989773084,0.15435664657566672,0.704392269604458,-0.3118258482132087,0.12178805511417092
Density Selection,2.845434243798584,0.14441292452168697,0.15746476526639164,0.6780240119035257,-0.29182812096021205,0.3094264218380384
Max Sharpe,2.778925410928951,0.14241501963312286,0.16913863274327023,0.6317440282103235,-0.24619146224116084,0.3161758375841788
Equal Weight,2.574384274221532,0.13606597173466617,0.1495229786143546,0.657073189251838,-0.279197346682583,0.10657533298407801
Risk Parity,2.2290012180290013,0.12456248858659635,0.14740220125831668,0.5956482367406704,-0.2832329478878214,0.10507328280745108
Inverse Volatility,2.1874144012401353,0.12310348807220506,0.14680790177927192,0.5886944549437231,-0.2888090976083957,0.09318504558311938
Maximum Diversification,2.1109400739603092,0.12037522584588656,0.15720613092888225,0.5441897896385852,-0.2580623000434693,0.22770604459690358
Hierarchical Risk Parity,1.9883169797546025,0.11587196049244719,0.14841390590102038,0.5405775006624131,-0.29830831696729687,0.13708916522159295
Minimum Variance,1.445591988440309,0.09369687712576291,0.14927857011694506,0.40429437215516556,-0.29372752588343276,0.18976911364017782
