,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2016-01-01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2016-01-01,9943.697729448088,9973.589977155632,9930.734241337945,9914.49733911803,9927.80190396591,9912.576249115255,9922.031325748512,9889.444914378164,9891.24388967857,9891.24388967857,9911.99984301243
2016-01-08,9472.095089434659,9730.962710091451,9499.684504434686,9494.206314435298,9467.330086438329,9376.246659809629,9474.666009648503,9434.080703871463,9427.438941260325,9427.438941260325,9330.9988765357
2016-01-15,9353.728792543268,9479.639922675988,9376.781400839453,9524.24329883715,9394.874959041244,9462.97584296212,9408.061556362169,9374.814991243891,9387.496573647033,9387.496573647033,9131.174114791178
2016-01-22,9607.919457524202,9770.016614555241,9623.456471137719,9700.621331584416,9617.112987987051,9609.615851356602,9637.116041086192,9552.963130561788,9562.17206693179,9562.17206693179,9262.931037137858
2016-01-29,9917.175910278886,10159.042366825695,9948.229100049937,9974.807959158692,9917.919867466311,9878.033083769318,9944.122806807838,9907.558065726793,9922.014977226083,9922.014977226083,9418.51416720426
2016-02-05,9514.683252264136,9574.229550471202,9559.49941411066,9626.190663250567,9534.170723898085,9517.509318738601,9570.442722660235,9554.3336133233,9535.614050484564,9535.614050484564,9137.976322860075
2016-02-12,9394.132607838204,9499.722412987498,9485.196628802976,9658.12885945291,9462.698989419847,9437.123206893195,9526.439360212813,9596.933694671085,9593.772067343834,9593.772067343836,9073.801493617057
2016-02-19,9673.10534917283,9683.12758295041,9719.658053879837,9811.136395488797,9707.374369612453,9707.634836082638,9751.564587443612,9841.480874583853,9841.798716598687,9841.798716598687,9334.888366789844
2016-02-26,9791.696638840636,10130.476866201394,9820.747457843097,9958.806147693373,9825.476939371272,9859.829364779176,9892.309166370556,10010.588461782489,10065.138791325378,10065.138791325378,9485.120367843703
2016-03-04,10003.11638075659,10194.836606189665,10025.25532369277,10149.188866748513,10034.094679455267,10091.533352528722,10098.36087166055,10163.45987102195,10143.101833008386,10143.101833008386,9744.749122158772
2016-03-11,10072.435137231752,10182.0211006143,10108.828897387944,10237.73610142953,10095.938331530482,10113.811449110868,10178.699346594438,10230.955349672768,10192.137093092242,10192.137093092242,9858.0300858231
