Strategy,Total Return,CAGR,Volatility,Sharpe Ratio,Maximum Drawdown,Average Recurring Turnover
Partitioning Selection,6.831588156480642,0.22890916912640313,0.17943353396654774,1.0115660481233248,-0.30923645622977103,0.4099419146186
Density Selection,5.140163453264914,0.19932492020047832,0.17832106169642084,0.8801550873242703,-0.30150542769143807,0.3281206226530032
Eligible Universe Equal Weight,4.150049172011725,0.17838847153165216,0.1641010273807774,0.8350663345953515,-0.31429166020762866,0.140036744060327
Max Sharpe,3.8748538370655927,0.17192524741254456,0.19374025380611382,0.7057594059798141,-0.2703486914061346,0.30029696667206873
Equal Weight,3.617522766800767,0.1655773604170414,0.15727658025057364,0.794785736021786,-0.284458073547215,0.11952562010132398
Maximum Diversification,3.285405273755142,0.15689648075987872,0.16749820989847627,0.7115091690924864,-0.26478542402026073,0.2471430532260656
SPY,2.9599769692898668,0.14778198335175996,0.17089403015861218,0.6552813029964948,-0.318289688466291,0.0
Risk Parity,2.8301527480512587,0.1439566402915835,0.1515888799976671,0.6957601634077202,-0.28631715564884264,0.11528248317270556
Inverse Volatility,2.639482405166864,0.13812135480424814,0.14974483513455586,0.6684764795471609,-0.29091414889310974,0.10138921189996218
Hierarchical Risk Parity,2.379391360773693,0.12970123229717379,0.15156490246068494,0.6134565220576919,-0.30140608446576167,0.1464065389676502
Minimum Variance,1.5436023996593713,0.0980094248940715,0.14978641652313937,0.429614413389463,-0.2939627512578652,0.19722918366556588
