Rebalance Date,Strategy,Turnover,Cost
2016-01-01,Equal Weight,1.0,0.001
2016-01-01,Max Sharpe,1.0,0.001
2016-01-01,Inverse Volatility,1.0,0.001
2016-01-01,Minimum Variance,1.0,0.001
2016-01-01,Risk Parity,1.0,0.001
2016-01-01,Maximum Diversification,1.0,0.001
2016-01-01,Hierarchical Risk Parity,1.0,0.001
2016-01-01,Eligible Universe Equal Weight,1.0,0.001
2016-01-01,Partitioning Selection,1.0,0.001
2016-01-01,Density Selection,1.0,0.001
2017-01-01,Equal Weight,0.08252117425337008,8.252117425337008e-05
2017-01-01,Max Sharpe,0.46953560784509685,0.0004695356078450969
2017-01-01,Inverse Volatility,0.08232946544208844,8.232946544208844e-05
2017-01-01,Minimum Variance,0.27508009033847025,0.00027508009033847024
2017-01-01,Risk Parity,0.11093828948016145,0.00011093828948016145
2017-01-01,Maximum Diversification,0.3935120763232166,0.0003935120763232166
2017-01-01,Hierarchical Risk Parity,0.1592796745286,0.0001592796745286
2017-01-01,Eligible Universe Equal Weight,0.13852495162030176,0.00013852495162030177
2017-01-01,Partitioning Selection,0.20113352631961137,0.0002011335263196114
2017-01-01,Density Selection,0.1510351216008285,0.0001510351216008285
2018-01-01,Equal Weight,0.09859489508064889,9.85948950806489e-05
2018-01-01,Max Sharpe,0.29096504815220303,0.00029096504815220305
2018-01-01,Inverse Volatility,0.08950262622533048,8.950262622533049e-05
2018-01-01,Minimum Variance,0.1265541527528249,0.0001265541527528249
2018-01-01,Risk Parity,0.09583648974891588,9.583648974891588e-05
2018-01-01,Maximum Diversification,0.14886810433694114,0.00014886810433694116
2018-01-01,Hierarchical Risk Parity,0.10852820751951298,0.00010852820751951298
2018-01-01,Eligible Universe Equal Weight,0.11359499234494155,0.00011359499234494155
2018-01-01,Partitioning Selection,0.23334427432521612,0.00023334427432521613
2018-01-01,Density Selection,0.297244663117504,0.00029724466311750405
2019-01-01,Equal Weight,0.12841635372411905,0.00012841635372411904
2019-01-01,Max Sharpe,0.6435494956457118,0.0006435494956457119
2019-01-01,Inverse Volatility,0.13048370424541783,0.00013048370424541785
2019-01-01,Minimum Variance,0.37693744536164564,0.00037693744536164566
2019-01-01,Risk Parity,0.15232365740451267,0.0001523236574045127
2019-01-01,Maximum Diversification,0.4421702120998288,0.00044217021209982883
2019-01-01,Hierarchical Risk Parity,0.20549894586676623,0.00020549894586676623
2019-01-01,Eligible Universe Equal Weight,0.18451312820351842,0.00018451312820351844
2019-01-01,Partitioning Selection,0.4501725433007185,0.00045017254330071847
2019-01-01,Density Selection,0.35980380949729784,0.00035980380949729787
2020-01-01,Equal Weight,0.07668489220990779,7.668489220990779e-05
2020-01-01,Max Sharpe,0.3650935945205096,0.00036509359452050963
2020-01-01,Inverse Volatility,0.06835998197449547,6.835998197449547e-05
2020-01-01,Minimum Variance,0.207678429996692,0.00020767842999669202
