,Equal Weight,Max Sharpe,Inverse Volatility,Minimum Variance,Risk Parity,Maximum Diversification,Hierarchical Risk Parity,Eligible Universe Equal Weight,Partitioning Selection,Density Selection,SPY
2016-01-01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2016-01-01,9964.189614777182,9986.045557307154,9935.569970765728,9916.310595244124,9937.829832242036,9926.960293671393,9929.973457185995,9889.444914378164,9891.24388967857,9891.24388967857,9911.99984301243
2016-01-08,9496.185752468738,9753.945836194258,9507.238583103095,9494.40440488171,9479.228769128622,9389.826927904753,9479.824988733622,9434.080703871463,9427.438941260325,9427.438941260325,9330.9988765357
2016-01-15,9378.218349452445,9491.040156163946,9383.98801367434,9527.037397125125,9405.544871911086,9480.547731171882,9400.064850415649,9374.814991243891,9387.496573647033,9387.496573647033,9131.174114791178
2016-01-22,9699.47868734776,9860.362779017294,9647.107287582032,9703.2088748231,9662.719104683765,9701.328947255552,9650.075374761771,9552.963130561788,9562.17206693179,9562.17206693179,9262.931037137858
2016-01-29,9957.380045058879,10223.17244794365,9959.788010487247,9977.445950056477,9940.561109785036,9933.091992084353,9947.797239913532,9907.558065726793,9922.014977226083,9922.014977226083,9418.51416720426
2016-02-05,9551.674842102617,9656.50308779532,9570.913435977118,9624.92067026921,9557.964916672723,9602.364470930088,9558.281023830721,9554.3336133233,9535.614050484564,9535.614050484564,9137.976322860075
2016-02-12,9385.914531832252,9577.605282939547,9486.967733787782,9664.566094720818,9465.66482489992,9501.223637981622,9484.720336135044,9596.933694671085,9593.772067343834,9593.772067343836,9073.801493617057
2016-02-19,9643.773310311724,9713.78268185029,9714.504370705645,9810.947532936585,9700.046951491928,9748.067884621505,9710.283869966173,9841.480874583853,9841.798716598687,9841.798716598687,9334.888366789844
2016-02-26,9782.726608361409,10169.373605448061,9819.71781819422,9961.103763756513,9827.450106657529,9909.436942250117,9865.981687953315,10010.588461782489,10065.138791325378,10065.138791325378,9485.120367843703
2016-03-04,10035.861268497772,10277.637716757969,10034.252430958413,10145.905040692207,10057.697173967637,10183.756766838755,10077.757243575212,10163.45987102195,10143.101833008386,10143.101833008386,9744.749122158772
2016-03-11,10100.437327672347,10258.160957024005,10117.518023473523,10240.63531379629,10117.872789033448,10200.82422672571,10147.756605739973,10230.955349672768,10192.137093092242,10192.137093092242,9858.0300858231
2016-03-18,10205.273312802667,10412.060003880097,10196.45309262617,10268.191423805965,10185.454634117119,10211.684948139095,10211.130151267529,10196.047949521237,10134.845979056321,10134.845979056321,9988.04465733195
2016-03-25,10214.72073792298,10382.758802499557,10177.340098383356,10252.735770286961,10189.380112675039,10269.521188511646,10199.329782700297,10180.046131155897,10108.5387097391,10108.5387097391,9926.469274742945
2016-04-01,10423.528217630126,10692.706892778218,10419.796086192873,10499.872217932627,10420.450690193917,10465.938469769018,10445.429323199845,10487.582984051258,10409.952748624433,10409.952748624433,10112.17483487486
